date,value
2017-03,30
2017-04,32
2017-05,106
2017-06,134
2017-07,235
2017-08,210
2017-09,193
2017-10,63
2017-11,4
2017-12,1
2018-01,23
2018-02,19
2018-03,18
2018-04,49
2018-05,82
2018-06,190
2018-07,141
2018-08,279
2018-09,200
2018-10,127
2018-11,49
2018-12,9
2019-01,5
2019-02,11
2019-03,19
2019-04,20
2019-05,48
2019-06,137
2019-07,208
2019-08,163
2019-09,165
2019-10,144
2019-11,35
2019-12,4
2020-01,14
2020-02,8
2020-03,17
2020-04,33
2020-05,33
2020-06,120
2020-07,223
2020-08,202
2020-09,186
2020-10,35
2020-11,4
2020-12,8
2021-01,18
2021-02,2
2021-03,18
2021-04,34
2021-05,97
2021-06,192
2021-07,161
2021-08,202
2021-09,206
2021-10,76
2021-11,5
2021-12,4
2022-01,20
2022-02,6
2022-03,15
2022-04,58
2022-05,29
2022-06,135
2022-07,185
2022-08,167
2022-09,109
2022-10,73
2022-11,12
2022-12,7
2023-01,2
2023-02,3
2023-03,37
2023-04,31
2023-05,95
2023-06,39
2023-07,200
2023-08,136
2023-09,92
2023-10,63
2023-11,37
2023-12,19
2024-01,10
2024-02,13
2024-03,2
2024-04,8
