date,value
2017-03,24
2017-04,19
2017-05,83
2017-06,167
2017-07,233
2017-08,212
2017-09,201
2017-10,75
2017-11,5
2017-12,2
2018-01,21
2018-02,20
2018-03,10
2018-04,39
2018-05,112
2018-06,246
2018-07,152
2018-08,246
2018-09,190
2018-10,124
2018-11,65
2018-12,7
2019-01,6
2019-02,8
2019-03,17
2019-04,13
2019-05,35
2019-06,168
2019-07,205
2019-08,175
2019-09,168
2019-10,145
2019-11,47
2019-12,6
2020-01,13
2020-02,8
2020-03,21
2020-04,35
2020-05,29
2020-06,116
2020-07,220
2020-08,215
2020-09,164
2020-10,27
2020-11,5
2020-12,6
2021-01,11
2021-02,1
2021-03,15
2021-04,42
2021-05,92
2021-06,216
2021-07,194
2021-08,229
2021-09,243
2021-10,98
2021-11,8
2021-12,3
2022-01,21
2022-02,5
2022-03,6
2022-04,42
2022-05,35
2022-06,159
2022-07,191
2022-08,181
2022-09,145
2022-10,78
2022-11,17
2022-12,11
2023-01,2
2023-02,2
2023-03,31
2023-04,23
2023-05,83
2023-06,35
2023-07,207
2023-08,163
2023-09,88
2023-10,98
2023-11,40
2023-12,34
2024-01,9
2024-02,17
2024-03,1
2024-04,8
