date,value
2009-05,23.8
2009-06,23.1
2009-07,22.7
2009-08,23
2009-09,21.6
2009-10,22.2
2009-11,19.7
2009-12,19.5
2010-01,18.1
2010-02,18.3
2010-03,22.2
2010-04,23.9
2010-05,26.1
2010-06,24.6
2010-07,21.5
2010-08,21.7
2010-09,21.3
2010-10,21
2010-11,19.2
2010-12,17.4
2011-01,19.2
2011-02,21
2011-03,22.6
2011-04,24.2
2011-05,25.2
2011-06,23.9
2011-07,21.4
2011-08,22
2011-09,21.7
2011-10,21
2011-11,20.4
2011-12,18.8
2012-01,19.3
2012-02,20.5
2012-03,22.5
2012-04,23.4
2012-05,24.5
2012-06,23.1
2012-07,21.7
2012-08,21.5
2012-09,21.9
2012-10,21.4
2012-11,20
2012-12,19.4
2013-01,19.6
2013-02,21.5
2013-03,21.3
2013-04,24.7
2013-05,24.6
2013-06,23.5
2013-07,22
2013-08,21.9
2013-09,21
2013-10,21.2
2013-11,20.2
2013-12,19.8
2014-01,18.8
2014-02,21.4
2014-03,23.5
2014-04,24.4
2014-05,23.1
2014-06,22.6
2014-07,22.6
2014-08,22.5
2014-09,21.8
2014-10,21.2
2014-11,20.5
2014-12,19.2
2015-01,19.7
2015-02,20.5
2015-03,21.6
2015-04,24.9
2015-05,23.2
2015-06,23
2015-07,22.4
2015-08,22.8
2015-09,21.5
2015-10,21.8
2015-11,21.5
2015-12,20.1
2016-01,18.1
2016-02,20.2
2016-03,21.4
2016-04,24.5
2016-05,24.8
2016-06,22.8
2016-07,22.4
2016-08,21.9
2016-09,21.3
2016-10,21.2
2016-11,20
2016-12,20.5
2017-01,18.9
2017-02,20.7
2017-03,22.3
2017-04,23.4
2017-05,24.7
2017-06,22.6
2017-07,21.4
2017-08,21.7
2017-09,21.1
2017-10,21
2017-11,19.5
2017-12,18.1
2018-01,18.1
2018-02,21.1
2018-03,23.2
2018-04,23.6
2018-05,23
2018-06,22
2018-07,22.7
2018-08,21.2
2018-09,21.5
2018-10,21.3
2018-11,19.2
2018-12,18.1
2019-01,18.9
2019-02,21.4
2019-03,23
2019-04,24.2
2019-05,25.2
2019-06,22.9
2019-07,21.7
2019-08,21.8
2019-09,21.4
2019-10,21.1
2019-11,20.3
2019-12,18.8
2020-01,19.3
2020-02,21.1
2020-03,23.6
2020-04,25.6
2020-05,25.1
2020-06,23.8
2020-07,22.2
2020-08,21.7
2020-09,21.3
2020-10,20.8
2020-11,20.5
2020-12,19.6
2021-01,19.7
2021-02,20.4
2021-03,23
2021-04,24.6
2021-05,23.8
2021-06,21.8
2021-07,22.1
2021-08,21.3
2021-09,21.3
2021-10,21.6
2021-11,19.3
2021-12,19.4
2022-01,19.4
2022-02,20.5
2022-03,22.5
2022-04,24.1
2022-05,25.2
2022-06,22.7
2022-07,22.4
2022-08,21.4
2022-09,21.1
2022-10,21.2
2022-11,20.5
2022-12,18.4
2023-01,19
2023-02,20.6
2023-03,22.8
2023-04,24
2023-05,24.2
2023-06,26.3
2023-07,22.8
2023-08,22.5
2023-09,22.5
2023-10,21.7
2023-11,21
2023-12,18.9
2024-01,20
2024-02,21.3
2024-03,23.7
2024-04,25.6
