date,value
2017-03,13
2017-04,19
2017-05,134
2017-06,274
2017-07,235
2017-08,303
2017-09,272
2017-10,79
2017-11,3
2017-12,1
2018-01,7
2018-02,6
2018-03,10
2018-04,39
2018-05,131
2018-06,237
2018-07,90
2018-08,279
2018-09,204
2018-10,139
2018-11,59
2018-12,6
2019-01,2
2019-02,4
2019-03,3
2019-04,6
2019-05,63
2019-06,223
2019-07,203
2019-08,197
2019-09,212
2019-10,187
2019-11,34
2019-12,2
2020-01,6
2020-02,4
2020-03,11
2020-04,15
2020-05,22
2020-06,184
2020-07,274
2020-08,247
2020-09,265
2020-10,36
2020-11,3
2020-12,2
2021-01,12
2021-02,0
2021-03,14
2021-04,15
2021-05,118
2021-06,232
2021-07,160
2021-08,247
2021-09,231
2021-10,98
2021-11,8
2021-12,1
2022-01,18
2022-02,1
2022-03,5
2022-04,48
2022-05,33
2022-06,169
2022-07,208
2022-08,239
2022-09,222
2022-10,88
2022-11,10
2022-12,6
2023-01,0
2023-02,0
2023-03,7
2023-04,23
2023-05,96
2023-06,37
2023-07,221
2023-08,191
2023-09,153
2023-10,121
2023-11,51
2023-12,20
2024-01,5
2024-02,11
2024-03,0
2024-04,3
